CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
FunctionExchange,ErrorReturn,1754132231034270467,1754132233155467755,1754132233155470780,1754132233155471374,2121
FunctionExchange,ErrorReturn,1754132233155674232,1754132235276799017,1754132235276803116,1754132235276803803,2121
FunctionExchange,ErrorReturn,1754132235276888566,1754132237398093746,1754132237398096547,1754132237398096661,2121
FunctionExchange,ErrorReturn,1754132237398187942,1754132241719397072,1754132241719399806,1754132241719399918,4321
FunctionExchange,ErrorReturn,1754132241719492605,1754132246040690951,1754132246040694776,1754132246040694862,4321
FunctionExchange,ErrorReturn,1754132246040765091,1754132250362009375,1754132250362013255,1754132250362013336,4321
FunctionExchange,ErrorReturn,1754132250362113219,1754132254683297934,1754132254683301341,1754132254683301609,4321
FunctionExchange,ErrorReturn,1754132254683391957,1754132259004519177,1754132259004522410,1754132259004522493,4321
FunctionExchange,Exception,1754132259004665020,NA,NA,1754132286581422077,NA
FunctionExchange,Exception,1754132286581429869,NA,NA,1754132314343196283,NA
FunctionExchange,Exception,1754132314343203052,NA,NA,1754132342068049192,NA
FunctionExchange,Exception,1754132342068062646,NA,NA,1754132369813488378,NA
FunctionExchange,Exception,1754132369813496263,NA,NA,1754132397556441749,NA
FunctionExchange,Exception,1754132397556480996,1754132397566661091,1754132397566662437,1754132397566686106,10
FunctionExchange,Exception,1754132397566763336,1754132397576856093,1754132397576861426,1754132397576866784,10
FunctionExchange,Exception,1754132397577023777,1754132397587179627,1754132397587181069,1754132397587189060,10
FunctionExchange,Exception,1754132397587323545,1754132397597400573,1754132397597401276,1754132397597407974,10
FunctionExchange,Exception,1754132397597443209,1754132397607534923,1754132397607535972,1754132397607546126,10
FunctionExchange,Exception,1754132397607702565,1754132397712848210,1754132397712849221,1754132397712856566,105
FunctionExchange,Exception,1754132397713056474,1754132397818278359,1754132397818279833,1754132397818288905,105
FunctionExchange,Exception,1754132397818423532,1754132397923641624,1754132397923644667,1754132397923671533,105
FunctionExchange,Exception,1754132397923705015,1754132398028894869,1754132398028896288,1754132398028909292,105
FunctionExchange,Exception,1754132398028946357,1754132398134181214,1754132398134183032,1754132398134194869,105
FunctionExchange,Exception,1754132398134329528,1754132400255535095,1754132400255538355,1754132400255568256,2121
FunctionExchange,Exception,1754132400255607114,1754132402376789140,1754132402376791775,1754132402376805455,2121
FunctionExchange,Exception,1754132402376865685,1754132404498074334,1754132404498090221,1754132404498109220,2121
FunctionExchange,Exception,1754132404498281699,1754132406619457905,1754132406619460474,1754132406619489122,2121
