CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1752853107228778275,NA,NA,1752853134894575158,NA
AtomicEnum,ErrorReturn,1752853134894589567,NA,NA,1752853162516138486,NA
AtomicEnum,ErrorReturn,1752853162516145992,NA,NA,1752853190182836702,NA
AtomicEnum,ErrorReturn,1752853190182840444,NA,NA,1752853217520881385,NA
AtomicEnum,ErrorReturn,1752853217520886645,NA,NA,1752853245041662840,NA
AtomicEnum,ErrorReturn,1752853245041783226,1752853245051986432,1752853245051987311,1752853245051987330,10
AtomicEnum,ErrorReturn,1752853245052218007,1752853245062470924,1752853245062471841,1752853245062471881,10
AtomicEnum,ErrorReturn,1752853245062678185,1752853245072862248,1752853245072863188,1752853245072863228,10
AtomicEnum,ErrorReturn,1752853245072907832,1752853245082996219,1752853245082996947,1752853245082996967,10
AtomicEnum,ErrorReturn,1752853245083039103,1752853245093126436,1752853245093127158,1752853245093127178,10
AtomicEnum,ErrorReturn,1752853245093162945,1752853245198273328,1752853245198274740,1752853245198274801,105
AtomicEnum,ErrorReturn,1752853245198329026,1752853245303520030,1752853245303521636,1752853245303521934,105
AtomicEnum,ErrorReturn,1752853245303600001,1752853245408784918,1752853245408786286,1752853245408786341,105
AtomicEnum,ErrorReturn,1752853245408846044,1752853245514022148,1752853245514023755,1752853245514024113,105
AtomicEnum,ErrorReturn,1752853245514111659,1752853245619318882,1752853245619320067,1752853245619320107,105
AtomicEnum,ErrorReturn,1752853245619369604,1752853247740538212,1752853247740540329,1752853247740540496,2121
AtomicEnum,ErrorReturn,1752853247740614868,1752853249861820979,1752853249861823327,1752853249861823695,2121
AtomicEnum,ErrorReturn,1752853249861933286,1752853251983122534,1752853251983126305,1752853251983126610,2121
AtomicEnum,ErrorReturn,1752853251983194358,1752853254104312083,1752853254104315548,1752853254104315913,2121
AtomicEnum,ErrorReturn,1752853254104505399,1752853256225688426,1752853256225690588,1752853256225690867,2121
AtomicEnum,ErrorReturn,1752853256225777904,1752853260546976704,1752853260546979126,1752853260546979402,4321
AtomicEnum,ErrorReturn,1752853260547081112,1752853264868189799,1752853264868193270,1752853264868193555,4321
AtomicEnum,ErrorReturn,1752853264868361183,1752853269189477813,1752853269189480398,1752853269189480673,4321
