CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs
AtomicEnum,ErrorReturn,1752855524907692123,NA,NA,1752855555409571193,NA
AtomicEnum,ErrorReturn,1752855555409587849,NA,NA,1752855584294686998,NA
AtomicEnum,ErrorReturn,1752855584294694196,NA,NA,1752855612415608205,NA
AtomicEnum,ErrorReturn,1752855612415616073,NA,NA,1752855641078479215,NA
AtomicEnum,ErrorReturn,1752855641078485676,NA,NA,1752855669911275078,NA
AtomicEnum,ErrorReturn,1752855669911354732,1752855669921579443,NA,1752855669921580282,10
AtomicEnum,ErrorReturn,1752855669921723189,1752855669931903709,NA,1752855669931904448,10
AtomicEnum,ErrorReturn,1752855669931963527,1752855669942137019,NA,1752855669942137801,10
AtomicEnum,ErrorReturn,1752855669942179421,1752855669952265475,NA,1752855669952266045,10
AtomicEnum,ErrorReturn,1752855669952310133,1752855669962401519,NA,1752855669962402105,10
AtomicEnum,ErrorReturn,1752855669962442664,1752855670067544765,NA,1752855670067546147,105
AtomicEnum,ErrorReturn,1752855670067674404,1752855670172866053,NA,1752855670172867331,105
AtomicEnum,ErrorReturn,1752855670172955432,1752855670278118384,NA,1752855670278120057,105
AtomicEnum,ErrorReturn,1752855670278194559,1752855670383369941,NA,1752855670383371264,105
AtomicEnum,ErrorReturn,1752855670383438599,1752855670488609235,NA,1752855670488610630,105
AtomicEnum,ErrorReturn,1752855670488661633,1752855672610033031,NA,1752855672610034744,2121
AtomicEnum,ErrorReturn,1752855672610126648,1752855674731302796,NA,1752855674731305496,2121
AtomicEnum,ErrorReturn,1752855674731422509,1752855676852534363,NA,1752855676852536850,2121
AtomicEnum,ErrorReturn,1752855676852656326,1752855678973778758,NA,1752855678973781442,2121
AtomicEnum,ErrorReturn,1752855678973876296,1752855681095059088,NA,1752855681095062056,2121
AtomicEnum,ErrorReturn,1752855681095175153,1752855685416283019,NA,1752855685416285863,4321
AtomicEnum,ErrorReturn,1752855685416458076,1752855689737633228,NA,1752855689737635444,4321
AtomicEnum,ErrorReturn,1752855689737739047,1752855694058934172,NA,1752855694058936972,4321
