,CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs,ExecutionTimeMs
72,AtomicEnum,ErrorReturn,1754072106170737271,,,1754072133499595272,,27328.858001
73,AtomicEnum,ErrorReturn,1754072133499600815,,,1754072160649188882,,27149.588067
74,AtomicEnum,ErrorReturn,1754072160649194328,,,1754072187967427497,,27318.233169
75,AtomicEnum,ErrorReturn,1754072187967434636,,,1754072215804151319,,27836.716683
76,AtomicEnum,ErrorReturn,1754072215804157688,,,1754072243637265227,,27833.107539
77,AtomicEnum,ErrorReturn,1754072243637269946,,,1754072270879881024,,27242.611078
78,AtomicEnum,ErrorReturn,1754072270879887245,,,1754072297872391841,,26992.504596
79,AtomicEnum,ErrorReturn,1754072297872397209,,,1754072324679139086,,26806.741877
80,AtomicEnum,ErrorReturn,1754072324679144544,,,1754072352123430270,,27444.285726
81,AtomicEnum,ErrorReturn,1754072352123436515,,,1754072379337976536,,27214.540021
82,AtomicEnum,ErrorReturn,1754072379337983077,,,1754072406718594777,,27380.6117
83,AtomicEnum,ErrorReturn,1754072406718600184,,,1754072434460277080,,27741.676896
84,AtomicEnum,ErrorReturn,1754072434460283243,,,1754072461727560002,,27267.276759
85,AtomicEnum,ErrorReturn,1754072461727564603,,,1754072489193451755,,27465.887152
86,AtomicEnum,ErrorReturn,1754072489193458983,,,1754072516133564386,,26940.105403
87,AtomicEnum,ErrorReturn,1754072516133568173,,,1754072543641518618,,27507.950445
88,AtomicEnum,ErrorReturn,1754072543641525697,,,1754072570969971376,,27328.445679
89,AtomicEnum,ErrorReturn,1754072570969976603,,,1754072598417970872,,27447.994269
90,AtomicEnum,ErrorReturn,1754072598417976846,,,1754072625244906994,,26826.930148
91,AtomicEnum,ErrorReturn,1754072625244913134,,,1754072652307633656,,27062.720522
92,AtomicEnum,ErrorReturn,1754072652307646385,,,1754072679508075647,,27200.429262
93,AtomicEnum,ErrorReturn,1754072679508082140,,,1754072707208261315,,27700.179175
94,AtomicEnum,ErrorReturn,1754072707208268431,,,1754072734895187829,,27686.919398
95,AtomicEnum,ErrorReturn,1754072734895194126,,,1754072761827681144,,26932.487018
96,AtomicEnum,ErrorReturn,1754072761827687482,,,1754072788712822853,,26885.135371
